"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2023","37,150.5","35,065.8","37,942.0","34,536.9","395.79K","5.95%"
"10/29/2023","35,065.8","34,082.6","35,907.6","33,937.6","356.78K","2.88%"
"10/22/2023","34,082.6","29,912.7","35,191.4","29,713.6","546.20K","13.94%"
"10/15/2023","29,912.9","26,852.8","30,264.8","26,812.6","453.75K","11.40%"
"10/08/2023","26,852.8","27,961.1","28,097.5","26,558.4","258.44K","-3.96%"
"10/01/2023","27,961.1","26,962.5","28,556.6","26,955.7","355.31K","3.70%"
"09/24/2023","26,962.7","26,579.0","27,283.6","26,013.6","283.67K","1.44%"
"09/17/2023","26,579.2","26,562.0","27,480.7","26,382.3","282.39K","0.06%"
"09/10/2023","26,562.0","25,901.1","26,837.4","24,923.1","327.53K","2.55%"
"09/03/2023","25,901.1","25,869.7","26,417.7","25,411.7","233.37K","0.12%"
"08/27/2023","25,869.7","26,017.1","28,046.0","25,361.9","371.58K","-0.57%"
"08/20/2023","26,017.1","26,099.5","26,807.7","25,481.9","293.72K","-0.32%"
"08/13/2023","26,099.4","29,428.2","29,689.0","25,489.4","442.95K","-11.31%"
"08/06/2023","29,428.2","29,067.9","30,168.6","28,721.0","256.33K","1.24%"
"07/30/2023","29,068.1","29,354.2","30,025.9","28,611.0","282.53K","-0.97%"
"07/23/2023","29,353.5","29,788.9","30,337.0","28,890.7","245.08K","-1.46%"
"07/16/2023","29,788.9","30,291.8","30,435.0","29,621.4","253.92K","-1.66%"
"07/09/2023","30,291.4","30,288.8","31,764.5","29,944.3","429.51K","0.01%"
"07/02/2023","30,288.8","30,587.1","31,463.6","29,757.4","347.61K","-0.97%"
"06/25/2023","30,586.8","30,533.6","31,275.5","29,714.5","489.67K","0.17%"
"06/18/2023","30,533.6","26,515.0","31,395.4","26,290.6","595.01K","15.16%"
"06/11/2023","26,515.0","25,843.3","26,767.3","24,838.0","403.42K","2.60%"
"06/04/2023","25,844.0","27,070.9","27,410.2","25,425.6","392.44K","-4.54%"
"05/28/2023","27,072.0","26,855.3","28,431.2","26,541.3","364.20K","0.80%"
"05/21/2023","26,857.5","27,116.2","27,448.1","25,892.5","326.61K","-0.95%"
"05/14/2023","27,116.2","26,777.4","27,651.7","26,449.8","318.29K","1.27%"
"05/07/2023","26,777.5","28,857.1","29,122.0","25,853.1","501.86K","-7.21%"
"04/30/2023","28,857.1","29,235.1","29,941.3","27,685.9","479.52K","-1.29%"
"04/23/2023","29,234.1","27,813.8","29,995.7","27,054.3","594.98K","5.11%"
"04/16/2023","27,813.9","30,299.2","30,545.3","27,165.7","583.96K","-8.20%"
"04/09/2023","30,299.6","27,941.2","30,964.9","27,809.2","544.03K","8.44%"
